firebase_id,uncertainty_expression,index,response
lV4Kic77y4fgZW1IVlaVKOPll3s2,unlikely,4,30
lV4Kic77y4fgZW1IVlaVKOPll3s2,uncertain,3,50
lV4Kic77y4fgZW1IVlaVKOPll3s2,likely,2,70
lV4Kic77y4fgZW1IVlaVKOPll3s2,highly likely,5,90
mbwAumaPowUkeAKkLkvC7R9jyDm2,highly unlikely,5,5
mbwAumaPowUkeAKkLkvC7R9jyDm2,unlikely,1,25
mbwAumaPowUkeAKkLkvC7R9jyDm2,uncertain,4,50
mbwAumaPowUkeAKkLkvC7R9jyDm2,likely,3,80
mbwAumaPowUkeAKkLkvC7R9jyDm2,highly likely,2,95
nMxxcBGx0pQy0UCe2brbVCO1QaD3,highly unlikely,5,15
nMxxcBGx0pQy0UCe2brbVCO1QaD3,unlikely,3,25
nMxxcBGx0pQy0UCe2brbVCO1QaD3,uncertain,1,0
nMxxcBGx0pQy0UCe2brbVCO1QaD3,likely,2,65
nMxxcBGx0pQy0UCe2brbVCO1QaD3,highly likely,4,85
nNSPxDq6huZf1szvfhUOFHXmktg1,highly unlikely,3,75
nNSPxDq6huZf1szvfhUOFHXmktg1,unlikely,1,80
nNSPxDq6huZf1szvfhUOFHXmktg1,uncertain,5,35
nNSPxDq6huZf1szvfhUOFHXmktg1,likely,4,75
nNSPxDq6huZf1szvfhUOFHXmktg1,highly likely,2,70
oOoFYEQR8YaJ4jGMHdrLp5ayuJ93,highly unlikely,2,0
oOoFYEQR8YaJ4jGMHdrLp5ayuJ93,unlikely,3,20
oOoFYEQR8YaJ4jGMHdrLp5ayuJ93,uncertain,4,50
oOoFYEQR8YaJ4jGMHdrLp5ayuJ93,likely,5,85
oOoFYEQR8YaJ4jGMHdrLp5ayuJ93,highly likely,1,100
ooejhlkkR2QnID8HYFxYwaU9G922,highly unlikely,3,0
ooejhlkkR2QnID8HYFxYwaU9G922,unlikely,5,0
ooejhlkkR2QnID8HYFxYwaU9G922,uncertain,2,0
ooejhlkkR2QnID8HYFxYwaU9G922,likely,1,100
ooejhlkkR2QnID8HYFxYwaU9G922,highly likely,4,100
qGHbFBActGMQgQB18bfFgmxqRB72,highly unlikely,2,5
qGHbFBActGMQgQB18bfFgmxqRB72,unlikely,3,15
qGHbFBActGMQgQB18bfFgmxqRB72,uncertain,5,50
qGHbFBActGMQgQB18bfFgmxqRB72,likely,1,75
qGHbFBActGMQgQB18bfFgmxqRB72,highly likely,4,90
r2J7hIO2gDRyEJEXtneMBzrn8Kr1,highly unlikely,5,10
r2J7hIO2gDRyEJEXtneMBzrn8Kr1,unlikely,4,20
r2J7hIO2gDRyEJEXtneMBzrn8Kr1,uncertain,2,60
r2J7hIO2gDRyEJEXtneMBzrn8Kr1,likely,3,80
r2J7hIO2gDRyEJEXtneMBzrn8Kr1,highly likely,1,90
rgKMEYGZvDRMQQjzbxv5rxahHJG2,highly unlikely,3,5
rgKMEYGZvDRMQQjzbxv5rxahHJG2,unlikely,4,25
rgKMEYGZvDRMQQjzbxv5rxahHJG2,uncertain,2,50
rgKMEYGZvDRMQQjzbxv5rxahHJG2,likely,1,70
rgKMEYGZvDRMQQjzbxv5rxahHJG2,highly likely,5,95
s1JzX1W0QHZjJPloGX0QkiaKI9g2,highly unlikely,5,15
s1JzX1W0QHZjJPloGX0QkiaKI9g2,unlikely,1,35
s1JzX1W0QHZjJPloGX0QkiaKI9g2,uncertain,2,35
s1JzX1W0QHZjJPloGX0QkiaKI9g2,likely,4,80
s1JzX1W0QHZjJPloGX0QkiaKI9g2,highly likely,3,85
sG3iLGLo3hQyDWHzt4RA9H1JcfG2,highly unlikely,4,10
sG3iLGLo3hQyDWHzt4RA9H1JcfG2,unlikely,2,35
sG3iLGLo3hQyDWHzt4RA9H1JcfG2,uncertain,5,45
sG3iLGLo3hQyDWHzt4RA9H1JcfG2,likely,1,65
sG3iLGLo3hQyDWHzt4RA9H1JcfG2,highly likely,3,90
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,highly unlikely,4,95
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,unlikely,1,75
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,uncertain,2,50
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,likely,5,85
sbmeUXJSzwai6RkHXH7xWHuCQ0I3,highly likely,3,95
scNZzqyMSARTwWxVpOJ0NgV2LHx1,highly unlikely,3,15
scNZzqyMSARTwWxVpOJ0NgV2LHx1,unlikely,2,35
scNZzqyMSARTwWxVpOJ0NgV2LHx1,uncertain,1,50
scNZzqyMSARTwWxVpOJ0NgV2LHx1,likely,4,60
scNZzqyMSARTwWxVpOJ0NgV2LHx1,highly likely,5,80
tUUXO0GSfgXvndIpZH4LNnHnYBl1,highly unlikely,3,0
tUUXO0GSfgXvndIpZH4LNnHnYBl1,unlikely,1,20
tUUXO0GSfgXvndIpZH4LNnHnYBl1,uncertain,4,50
tUUXO0GSfgXvndIpZH4LNnHnYBl1,likely,2,90
tUUXO0GSfgXvndIpZH4LNnHnYBl1,highly likely,5,100
uEBNgXRAduWuo6emTuhgHudN1bF3,highly unlikely,4,0
uEBNgXRAduWuo6emTuhgHudN1bF3,unlikely,3,25
uEBNgXRAduWuo6emTuhgHudN1bF3,uncertain,5,50
uEBNgXRAduWuo6emTuhgHudN1bF3,likely,2,70
uEBNgXRAduWuo6emTuhgHudN1bF3,highly likely,1,100
v0jtgkyTzWMcQt8834nd79fRxlt2,highly unlikely,3,10
v0jtgkyTzWMcQt8834nd79fRxlt2,unlikely,1,25
v0jtgkyTzWMcQt8834nd79fRxlt2,uncertain,4,40
v0jtgkyTzWMcQt8834nd79fRxlt2,likely,2,75
v0jtgkyTzWMcQt8834nd79fRxlt2,highly likely,5,90
vQg5UG8kvZd8IHrdAh7QpvxZS3d2,highly unlikely,4,10
vQg5UG8kvZd8IHrdAh7QpvxZS3d2,unlikely,2,20
vQg5UG8kvZd8IHrdAh7QpvxZS3d2,uncertain,1,50
vQg5UG8kvZd8IHrdAh7QpvxZS3d2,likely,5,70
vQg5UG8kvZd8IHrdAh7QpvxZS3d2,highly likely,3,90
vdOYAYqZniSeVHlKXsW8DCxcYp42,highly unlikely,2,5
vdOYAYqZniSeVHlKXsW8DCxcYp42,unlikely,4,25
vdOYAYqZniSeVHlKXsW8DCxcYp42,uncertain,3,40
vdOYAYqZniSeVHlKXsW8DCxcYp42,likely,5,75
vdOYAYqZniSeVHlKXsW8DCxcYp42,highly likely,1,95
w4lwkgPg1VS5pZNU6Bd28CksH4C2,highly unlikely,2,10
w4lwkgPg1VS5pZNU6Bd28CksH4C2,unlikely,1,25
w4lwkgPg1VS5pZNU6Bd28CksH4C2,uncertain,4,50
w4lwkgPg1VS5pZNU6Bd28CksH4C2,likely,3,70
w4lwkgPg1VS5pZNU6Bd28CksH4C2,highly likely,5,90
xujpgGSk9JM16bD7GcXXLYNadQh1,highly unlikely,4,5
xujpgGSk9JM16bD7GcXXLYNadQh1,unlikely,1,30
xujpgGSk9JM16bD7GcXXLYNadQh1,uncertain,3,30
xujpgGSk9JM16bD7GcXXLYNadQh1,likely,5,75
xujpgGSk9JM16bD7GcXXLYNadQh1,highly likely,2,90
xxWnYZqUprSlNgnixh3eZEw96hn2,highly unlikely,3,0
xxWnYZqUprSlNgnixh3eZEw96hn2,unlikely,2,20
xxWnYZqUprSlNgnixh3eZEw96hn2,uncertain,4,50
xxWnYZqUprSlNgnixh3eZEw96hn2,likely,5,95
xxWnYZqUprSlNgnixh3eZEw96hn2,highly likely,1,100
yLm3v6oRa0Ot16u5BwUqwfYujKy1,highly unlikely,3,15
yLm3v6oRa0Ot16u5BwUqwfYujKy1,unlikely,4,35
yLm3v6oRa0Ot16u5BwUqwfYujKy1,uncertain,1,0
yLm3v6oRa0Ot16u5BwUqwfYujKy1,likely,2,75
yLm3v6oRa0Ot16u5BwUqwfYujKy1,highly likely,5,95
yfBLcQ4TdhRSav4xBSQsy9Xn9op1,highly unlikely,1,5
yfBLcQ4TdhRSav4xBSQsy9Xn9op1,unlikely,5,20
yfBLcQ4TdhRSav4xBSQsy9Xn9op1,uncertain,4,35
yfBLcQ4TdhRSav4xBSQsy9Xn9op1,likely,3,80
yfBLcQ4TdhRSav4xBSQsy9Xn9op1,highly likely,2,90
